gene_symbol,log2fc,p_value,direction
RPRD1A,3.772133091,1.45E-26,up
LOC100288911,-3.769203455,6.98E-23,down
PIK3C2A,3.767956531,7.89E-27,up
GOLGA7,3.762279413,2.54E-17,up
KIT,-3.761081979,4.02E-08,down
,-3.760750294,1.21E-46,down
PICALM,3.757429154,3.71E-14,up
FCGR1B,3.756661168,2.71E-12,up
MMP9,3.754918273,2.40E-08,up
HIST1H2BD,3.753894825,1.29E-12,up
CNN3,3.753580867,8.25E-19,up
ETNK1,3.750259888,1.30E-25,up
FAP,3.750131671,2.45E-12,up
ALOX5AP,3.748485329,6.35E-16,up
CXCL11,3.742162301,4.59E-05,up
ENSA,3.736407035,6.15E-28,up
TESC,-3.735014441,9.34E-46,down
AC092192.1,-3.733988434,5.96E-49,down
HIST1H2BH,3.720702154,5.21E-16,up
XRN2,3.720700944,2.21E-29,up
ZNF652,3.710786322,5.96E-08,up
,3.709291741,1.71E-13,up
MTFR1,3.708406441,3.56E-14,up
,3.706739147,1.64E-23,up
ARHGDIB,3.706053469,7.46E-19,up
RNF150,-3.705956231,1.22E-15,down
PIGC,3.70138172,2.77E-29,up
DDA1,3.698707636,8.93E-30,up
MICAL2,3.698181776,1.95E-18,up
ANKRD20A12P,-3.691595455,8.58E-30,down
KIF4A,3.689588056,4.91E-08,up
JAM2,-3.689245133,2.19E-12,down
TMEM245,3.686002126,7.68E-23,up
MAPK1,3.684915,8.99E-34,up
SLC7A5,3.682076357,1.71E-07,up
ARF4,3.681482867,4.09E-37,up
FKBP1A,3.679313007,1.24E-21,up
LRRC16A,3.677600594,5.42E-20,up
SP110,3.676655923,1.34E-20,up
TMEM230,3.674465287,4.85E-18,up
TMEM41B,3.672076888,6.94E-29,up
PGM5-AS1,-3.669002972,5.16E-39,down
FBN1,3.668837007,3.52E-10,up
LYPLA1,3.665701084,2.62E-28,up
CDC42SE1,3.664182343,1.04E-26,up
RRM1,3.662793273,1.87E-19,up
EML4,3.652139476,4.06E-13,up
IGHA1,3.651579657,1.36E-05,up
TTC3,3.650747867,1.12E-19,up
CTPS1,3.645626063,2.51E-14,up
AKR1C3,-3.64445435,6.84E-08,down
CDO1,-3.640569573,4.97E-13,down
TNS1,-3.635275322,2.24E-24,down
RP11-2E11.9,-3.634089042,6.19E-26,down
CCDC69,-3.631879545,6.54E-17,down
C14orf1,3.630661028,2.23E-19,up
HN1,3.629360343,4.26E-18,up
POGK,3.62727549,1.51E-26,up
FAM107A,-3.624635322,1.24E-14,down
SCARB2,3.62310579,1.07E-17,up
LYVE1,-3.622383559,4.63E-23,down
HSPD1,3.622202371,2.89E-23,up
HIST2H2BE,3.621468469,9.90E-12,up
KLHL29,-3.620205685,5.37E-13,down
ASCC1,3.619982748,9.13E-23,up
ACTR2,3.612541434,3.77E-34,up
COX7A1,-3.611852448,2.34E-16,down
FANCI,3.607450294,9.09E-14,up
RAD21,3.606773573,6.69E-19,up
SRSF10,3.604942231,1.61E-27,up
GCH1,3.602891853,2.01E-16,up
SPAG1,3.60080635,4.07E-17,up
,-3.598816462,2.21E-32,down
AKAP12,-3.595137587,1.51E-14,down
PSEN1,3.590374566,1.37E-21,up
FOXO3,3.588067497,1.47E-15,up
EIF2S3,3.585787007,4.10E-13,up
SOBP,-3.585744979,5.25E-14,down
MAMDC2,-3.585617825,9.56E-15,down
MEG3,-3.583813944,7.08E-17,down
DMD,-3.582366273,9.10E-09,down
MTPAP,3.580761503,8.59E-09,up
LYZ,3.578277566,7.53E-05,up
RAB22A,3.578186266,5.73E-32,up
HSPA8,3.575988042,1.52E-31,up
PTER,3.571423063,2.70E-19,up
ERMP1,3.569387692,3.45E-19,up
ATP6V1C1,3.569107028,1.34E-26,up
EPPK1,3.568476685,3.33E-10,up
SPTLC2,3.567834825,4.61E-18,up
GSPT1,3.565118741,1.53E-42,up
CYB5R3,3.564279063,1.16E-22,up
SRPX,-3.561131748,2.11E-10,down
SLC44A4,3.560860203,6.88E-05,up
SOD3,-3.558816937,3.70E-23,down
PPP1R11,3.558662951,2.60E-31,up
CEP55,3.558184958,1.08E-08,up
TRIM4,-3.554459476,5.77E-48,down
C12orf5,3.554285531,1.49E-20,up
KCTD5,3.553236685,2.01E-32,up
YWHAH,3.548147238,2.01E-33,up
CX3CL1,-3.546136965,4.72E-10,down
ZWILCH,3.535502091,3.68E-19,up
GPR146,-3.531124832,8.27E-42,down
ID4,-3.530043119,2.50E-06,down
GREM1,3.529816699,5.25E-07,up
ASAH1,3.529568657,5.07E-17,up
PPP1R2,3.528035846,1.87E-30,up
CDC5L,-3.527543783,9.95E-48,down
,3.525209329,6.06E-25,up
NDRG2,-3.518707189,4.17E-12,down
MIR4745,3.51469086,3.21E-30,up
MSI2,3.511221503,5.25E-11,up
WHSC1,3.510310287,2.32E-20,up
NET1,3.507893979,7.50E-27,up
,3.504046343,4.98E-23,up
S100A7,3.503208392,0.012451573,up
