gene_symbol,log2fc,p_value,direction
RPL21,-1.288751105,3.05E-37,down
MBTPS1,1.288525832,3.74E-10,up
SPA17,1.288371517,0.000457272,up
STX12,-1.288245231,4.58E-15,down
DYNC2H1,-1.288240692,0.001333065,down
MYO5C,1.288207434,0.010249051,up
ZNF239,1.288082608,0.000556992,up
RP11-190A12.8,-1.288070343,3.30E-07,down
LRRC37A4P,-1.287766476,4.76E-12,down
GIMAP7,-1.287451098,0.000860988,down
HDLBP,1.287441685,0.000141331,up
HSPB1,1.287305077,0.000364521,up
,1.28707379,1.16E-08,up
EFHD2,1.287065874,1.58E-06,up
,-1.286954119,0.000755682,down
PBXIP1,-1.28694042,4.83E-08,down
CTSD,1.286591552,5.04E-06,up
TRNP1,-1.286196217,8.81E-06,down
,1.285973112,1.39E-06,up
LYPD3,1.285846825,0.010699788,up
MIR3934,1.285165636,5.27E-10,up
HCFC2,-1.285078021,1.09E-11,down
ELP5,1.285013517,0.002117687,up
KANSL2,1.28432449,2.58E-15,up
BRD7,1.284315685,2.92E-08,up
DARS,1.284281524,2.91E-09,up
,-1.283989804,4.01E-18,down
GINS4,1.283871385,0.006610486,up
MCTP2,-1.283819336,1.41E-34,down
FOXD1,1.283638678,0.040156852,up
PLEKHM3,-1.283236399,3.11E-05,down
PDGFRL,-1.283174797,0.017976274,down
D2HGDH,-1.282881552,4.98E-07,down
TDP2,1.282851329,1.70E-13,up
XPNPEP3,1.282714322,1.93E-08,up
CLMP,-1.282701182,0.00823538,down
,-1.282688434,0.000209239,down
ZCCHC6,1.282361,2.03E-07,up
C11orf58,1.282101657,7.31E-15,up
CCDC132,1.281843329,5.32E-06,up
SMYD2,1.281320573,3.82E-07,up
NUAK1,-1.281081664,0.002107064,down
HAX1,-1.280840287,4.53E-21,down
SMAD2,1.280378804,1.72E-12,up
,1.28008965,1.91E-07,up
IDI1,1.279988126,3.98E-06,up
ZNF75A,1.279829182,1.54E-06,up
MCOLN2,1.279695224,0.003908239,up
TKT,1.278986559,6.14E-06,up
,-1.278589923,4.05E-06,down
SUZ12,1.27853021,1.72E-05,up
,1.278171077,0.000879328,up
RECQL4,1.277974427,0.001289478,up
ELP6,1.277738476,1.12E-11,up
TRAK2,1.277543587,8.05E-06,up
,-1.277520706,0.000797866,down
FEM1B,1.276249776,4.42E-09,up
NPAS3,-1.275684839,1.17E-10,down
MRPL37,1.275588629,1.54E-07,up
TYRO3,-1.27553621,8.07E-08,down
DHCR24,1.275452483,0.010695894,up
ADAM15,1.275389524,0.000188877,up
TMEM138,1.275287042,4.86E-12,up
SOCS1,1.275141182,0.001193669,up
CAB39L,1.274908979,0.044882885,up
LOC284454,-1.274788671,7.26E-06,down
TTLL7,1.274787,0.00186522,up
POLM,1.274416266,4.22E-06,up
SLC15A4,1.274393993,2.85E-09,up
CAP1,1.274257552,2.36E-15,up
SSPN,-1.273845161,0.003329336,down
,1.273341385,7.11E-09,up
,-1.273332343,0.007443514,down
KLF7,1.273112986,2.04E-07,up
ELP2,-1.272930769,0.022586264,down
ATP6V1F,1.272472469,2.25E-16,up
,-1.271944811,8.90E-13,down
COQ7,1.271651203,2.42E-06,up
,-1.271646538,2.86E-35,down
SNRPN,1.271605427,0.000316058,up
,1.27160351,3.69E-06,up
MGP,-1.271391385,0.023390474,down
ZNF267,1.271095713,9.32E-11,up
STK4,1.270612462,1.25E-13,up
DIRC2,1.270510594,3.97E-09,up
LOC727820,1.270346413,0.001366778,up
NTRK3,-1.270345161,0.000234328,down
ABCE1,1.27029121,5.24E-10,up
FAIM,1.270269336,8.74E-07,up
ALG3,1.270269168,1.05E-08,up
RSL1D1,1.270214965,0.00083118,up
PSMF1,1.270162811,1.30E-10,up
THRB-IT1,-1.269842517,2.20E-06,down
RNF7,1.269833308,1.55E-12,up
MIR1292,1.269811559,1.18E-09,up
PHF20,1.269089098,5.75E-06,up
NUDT1,1.268795028,4.82E-05,up
LY75,-1.268486231,0.017914039,down
JPH1,1.267940371,0.014283737,up
SLC2A5,1.267739462,0.00476962,up
ABHD16A,1.267615238,1.31E-12,up
,1.267541881,7.01E-08,up
SGMS1,1.267304853,8.56E-06,up
,-1.267275105,7.22E-07,down
PRNP,-1.267149119,5.71E-06,down
MED16,-1.267134014,2.73E-07,down
ARHGEF9,1.266822895,0.001356598,up
,1.26677942,0.001911738,up
HDHD1,1.266720783,1.15E-05,up
,1.266720133,8.56E-05,up
RTKN,1.266540608,2.23E-06,up
FAM114A1,1.266064252,4.01E-06,up
SYS1,1.265995699,2.14E-07,up
MOSPD2,1.265840252,4.43E-09,up
SATB1,-1.265559951,0.001313842,down
,1.265395685,0.001416183,up
GAB1,1.265358888,0.000305065,up
EPB41L2,-1.265043168,4.52E-05,down
CEACAM1,1.264871483,0.014681197,up
NANP,1.264860923,3.90E-06,up
KCNJ8,-1.26480951,0.000397445,down
UBE2D2,1.264597916,4.57E-19,up
SLC38A9,-1.264203755,2.38E-07,down
SYF2,-1.264121252,1.09E-16,down
MET,-1.263857748,0.031977794,down
LINC00277,-1.263564245,9.53E-07,down
CASP1,1.263472706,0.014533495,up
SMCO4,1.263289818,0.00139506,up
LAIR1,1.26297207,0.00597001,up
SLC22A17,-1.262596979,5.35E-05,down
SMAD3,-1.262586028,0.000167357,down
LOC646214,-1.262125315,2.11E-06,down
WRNIP1,1.261903727,3.14E-10,up
ZNF503,-1.261799259,0.001213864,down
PDE8A,1.261442881,3.83E-06,up
CYTH3,-1.26138735,1.33E-06,down
MRVI1,-1.261287951,0.000405491,down
RPA3,1.261234776,1.21E-08,up
NIPA2,1.260911301,4.94E-14,up
PRDM10,1.260730958,5.54E-10,up
RP11-97C16.1,1.260523294,1.27E-08,up
AP3M2,1.260243944,3.51E-06,up
IFI35,1.259928888,0.004806432,up
GSTO1,1.259885895,2.08E-13,up
COL5A3,-1.259813259,0.000344868,down
LOC102725451,-1.259786413,3.74E-07,down
APCDD1L,-1.259750685,2.45E-05,down
SPPL3,-1.259630734,2.89E-16,down
PDCL3,1.259572161,6.85E-12,up
STIM2,1.259353238,3.93E-07,up
SGSM2,-1.25893442,7.64E-08,down
TSEN34,1.258540049,2.77E-11,up
SYT17,1.258201608,0.04164476,up
FAM213A,-1.258084399,5.42E-05,down
GEN1,1.258045182,2.94E-06,up
AHI1,-1.257908378,1.46E-05,down
MDM2,1.257470734,3.44E-06,up
GPALPP1,-1.257192538,2.40E-08,down
IARS2,1.257151259,1.04E-12,up
IMPDH2,-1.257093112,1.19E-07,down
UAP1,1.256442119,3.38E-07,up
SOX7,-1.256347308,0.001485149,down
FAM122B,1.256192147,5.90E-07,up
LOC100996717,1.256140336,6.80E-05,up
SUV420H1,1.256078881,1.04E-07,up
ANAPC7,1.25584514,9.17E-06,up
HCLS1,1.255799329,0.001251263,up
PFDN2,1.25574328,1.14E-06,up
CEP83,1.255727147,5.33E-08,up
RAB6B,-1.25563549,6.16E-12,down
EBF2,-1.25520672,3.36E-06,down
FLJ41455,-1.254914441,2.58E-17,down
GNG5,1.254851888,4.94E-14,up
,-1.254814888,0.00274817,down
SHB,1.254324629,7.07E-06,up
ERAP1,1.254311112,0.000326965,up
PPP1R21,1.254306077,9.83E-07,up
DUSP11,1.253979273,3.07E-15,up
APOA1BP,1.253365196,1.67E-11,up
OCRL,1.253174266,1.97E-09,up
DNPEP,1.253043937,1.07E-06,up
GABARAPL2,1.252791622,1.08E-10,up
LTB4R,-1.252730042,3.84E-06,down
ALKBH5,1.25248965,6.34E-10,up
CNNM4,1.252330643,3.34E-06,up
PDCD6IP,1.25230342,6.80E-12,up
ENKD1,-1.251936783,1.24E-06,down
ARSG,1.251830524,0.014313909,up
LDHB,-1.251552587,0.004102707,down
,-1.251466049,0.000249874,down
HAUS6,1.251139049,0.000627142,up
SMN1,1.250681049,1.22E-07,up
PAK3,-1.250267685,7.07E-06,down
KCNB1,-1.250035531,1.81E-08,down
SPAG16,-1.249821741,0.005350302,down
CHKB,-1.249802713,8.74E-14,down
FADS3,-1.24963314,3.99E-11,down
,-1.249601441,6.26E-07,down
NUP85,1.249575385,2.68E-06,up
COX17,1.249479021,4.61E-08,up
CREB3L1,1.249298007,0.005072651,up
IFI27,1.249094825,0.013162969,up
,1.248947503,0.022958307,up
,1.248851497,7.93E-10,up
TAP2,1.248397769,0.025125456,up
CLPTM1L,1.248198203,3.80E-11,up
DHRS7,1.247906385,2.51E-06,up
,-1.247524629,0.002192016,down
RP11-127B20.2,-1.24714035,0.000432238,down
TM7SF3,1.246977007,3.46E-07,up
HIST1H2AM,1.246940685,0.001192541,up
USP42,1.246684545,2.06E-10,up
,-1.246484608,8.76E-18,down
SRA1,1.246405986,2.38E-10,up
POLR2E,1.246097678,1.02E-10,up
NPR2,-1.245848224,9.74E-16,down
ATP10D,1.245689077,0.000376217,up
POLDIP3,1.245279965,0.000148106,up
ITGA4,1.24475765,6.83E-05,up
RSF1,1.244458287,2.16E-07,up
SRPR,1.244364902,2.16E-12,up
ZNF664,1.244317196,1.41E-05,up
TRMT5,1.244193427,2.70E-08,up
YIPF4,-1.243931469,1.21E-16,down
HYOU1,1.243790371,6.75E-10,up
CGN,1.243722944,0.043929572,up
P2RY12,-1.243563287,1.73E-08,down
PQLC1,-1.243225434,1.57E-10,down
TGS1,1.243160587,4.69E-08,up
OTULIN,1.242939294,0.000192601,up
ZNF420,1.242888469,0.000178133,up
UTP18,1.242138035,8.24E-06,up
PHGDH,-1.241795091,0.036009603,down
DHFR,1.241774538,9.04E-07,up
ZFP14,-1.241149909,6.36E-31,down
XPO1,1.241101818,2.57E-19,up
MAPKAPK5-AS1,1.241094483,9.17E-14,up
MAP4K3,1.240903119,8.76E-11,up
KIAA1217,1.240455056,1.90E-06,up
CLEC14A,-1.240380455,2.32E-10,down
NEK5,1.24033942,0.031732109,up
NEBL,1.240268287,0.030917023,up
POP4,1.240170517,4.15E-09,up
BACE2,1.24010051,0.002837326,up
CHEK2,1.239944699,0.000570602,up
GTF3C1,1.239836566,1.22E-11,up
ANAPC4,-1.239685392,1.84E-13,down
EXOC3,-1.23961372,6.25E-06,down
SESN3,-1.239071224,0.001766127,down
MED20,1.237608364,1.52E-08,up
PRKAR1B,-1.237415308,4.99E-18,down
TRMT61B,1.237415028,1.05E-07,up
,1.237268455,0.006020991,up
CEP41,1.23706772,0.000524295,up
ACSL1,-1.236638755,0.001413137,down
PMS2P3,1.23657321,1.14E-12,up
SNX6,1.236498224,1.10E-14,up
TMEM55B,1.235579196,2.73E-08,up
POLR3F,1.235546874,1.88E-14,up
SCRN3,1.235523811,1.04E-08,up
,-1.235336685,5.46E-10,down
CTSA,1.235205748,1.14E-10,up
CCNO,1.235128147,0.027238118,up
,-1.234676434,3.81E-12,down
C19orf60,-1.23415258,1.28E-11,down
ABCA3,-1.234098566,0.002180521,down
ATP5C1,1.234019825,4.04E-10,up
MMP28,-1.233879643,8.95E-25,down
SORL1,1.233774259,0.001508953,up
,-1.233759483,1.28E-12,down
TCF3,1.233553713,5.88E-07,up
GPR65,1.233499476,7.01E-05,up
TRIOBP,1.232986343,8.53E-06,up
DCAF11,1.232944769,1.51E-09,up
MRPL18,1.232921965,4.45E-11,up
BMP1,1.232915832,1.46E-05,up
GNLY,1.232774245,0.035453785,up
QPCT,1.232643503,0.001435187,up
TBC1D13,-1.232602958,4.12E-09,down
AIMP2,1.232422196,3.65E-11,up
RPL13A,-1.23221972,1.35E-09,down
C9orf91,1.232167084,0.000136821,up
ZNF580,-1.232160497,2.10E-11,down
GPX7,1.232072,0.009540688,up
C2CD2,-1.231978937,8.98E-06,down
KLHL42,1.231542993,7.65E-05,up
,-1.231494287,5.29E-06,down
RUSC2,-1.231320133,2.55E-12,down
AGPAT3,1.231198322,1.27E-09,up
TNFSF12,-1.230834112,5.13E-26,down
,-1.230603608,0.002124961,down
PIK3AP1,1.230402301,0.000904282,up
,-1.230043469,1.45E-09,down
ACAD10,-1.23001193,2.86E-13,down
NAP1L1,-1.229871035,1.86E-06,down
RIOK1,1.229631014,0.000200385,up
SMA4,1.22961449,0.008008372,up
CMTM4,1.229521853,0.000361502,up
,-1.229468573,0.000245227,down
EIF4E3,-1.229436776,1.37E-13,down
SNHG8,-1.229184573,4.26E-06,down
CTXN1,1.229173804,4.39E-05,up
MINK1,-1.228793762,2.10E-13,down
MFSD8,1.228485448,2.01E-07,up
DCK,1.228456629,4.53E-09,up
,1.228268245,3.86E-11,up
AGPAT2,-1.228116336,1.93E-07,down
ZNF93,1.227537755,0.000150582,up
,1.226837203,6.07E-06,up
NRP1,1.226700406,0.000247391,up
EWSR1,1.226649769,1.98E-18,up
NCOA1,1.226625469,1.88E-07,up
GLTP,1.226423175,9.14E-06,up
YIF1A,1.226304308,4.58E-10,up
ST6GALNAC4,1.225774832,2.39E-05,up
,1.22534872,6.30E-07,up
LOC101930075,-1.225341692,1.03E-12,down
RABAC1,1.225334392,1.07E-09,up
NDUFV2,1.22523093,4.14E-11,up
SGPP2,1.225186072,0.025765153,up
NUP35,1.225103161,6.16E-09,up
RP11-846E15.2,1.22504521,0.009165161,up
TP53,1.224753846,0.002051455,up
MACC1,1.22442479,0.004948071,up
,1.224353615,1.43E-05,up
,1.224247014,0.005223449,up
MEIS3P1,-1.223819636,0.00021726,down
ARID1B,-1.22380493,3.49E-05,down
C16orf87,1.223775406,9.94E-05,up
MAPK1IP1L,1.223569007,6.15E-15,up
FAM134B,-1.223277014,0.025990265,down
,-1.222536056,0.002165091,down
IDS,1.222420727,6.55E-07,up
HADHA,-1.22202593,1.85E-17,down
TAF2,1.221487706,5.94E-09,up
NUP107,1.221449776,1.08E-07,up
MYD88,1.221277217,8.61E-14,up
,1.220981266,9.72E-05,up
LINC00899,-1.220968944,0.00144537,down
NCOA5,1.220960874,5.25E-10,up
RNASET2,1.220745014,2.85E-08,up
VPS13B,1.220576161,4.64E-07,up
GAPDH,1.220572168,6.35E-12,up
EIF4A3,1.22055914,8.83E-09,up
AVPI1,-1.220325147,2.56E-08,down
KMT2E,1.220303657,4.27E-09,up
SPTLC3,-1.220292503,2.97E-22,down
DHRSX,1.220260448,1.33E-07,up
BCR,-1.220059343,0.000241969,down
HINT1,1.219884203,2.44E-09,up
CHD1L,1.219796944,9.21E-06,up
UTP11L,1.219772867,1.22E-08,up
PPT1,1.219392238,4.32E-10,up
ANKRD13C,1.219344175,1.02E-07,up
CLNS1A,-1.219340196,1.55E-05,down
GLOD4,1.218564056,3.61E-10,up
TMEM140,-1.21839142,0.000195246,down
VEZT,1.218092524,0.002000878,up
,-1.217757196,0.008875136,down
USP7,-1.217290378,1.23E-27,down
UFL1,1.21703493,7.26E-09,up
EXOSC6,-1.216870007,1.04E-18,down
SEC31A,1.216758636,1.01E-12,up
ACKR4,-1.216577958,0.000445261,down
BTN3A3,1.216251573,0.001611549,up
CARD6,-1.216075252,1.28E-05,down
BTG2,1.215704853,0.0059199,up
EIF2S1,1.215639587,1.89E-12,up
PHF5A,1.215633881,2.18E-10,up
C21orf59,1.215632308,1.52E-10,up
NUP93,1.215600692,6.68E-06,up
TFG,1.215523098,5.19E-14,up
KIF3C,1.215383021,0.00074903,up
YAP1,1.215238399,0.0003907,up
TNRC6B,-1.215119657,1.95E-11,down
VAT1,-1.215078266,6.01E-09,down
ARHGEF7,1.214748112,0.004255704,up
EID1,1.214577133,3.29E-05,up
KLHDC4,-1.214567804,1.89E-05,down
BTBD19,1.214373343,0.000956105,up
LNX2,1.213973832,8.48E-07,up
ARNTL2,1.213822615,0.043303428,up
FAT4,-1.213634476,6.17E-05,down
CPT2,1.213402105,1.30E-08,up
,-1.212316818,1.51E-21,down
,1.211780972,3.25E-08,up
KAZN,-1.21160835,0.000411572,down
ING2,1.21144635,6.24E-07,up
C1QC,1.211194909,0.000381375,up
NUDT9,1.211011028,1.00E-07,up
BCL6B,-1.211002545,7.17E-11,down
C4orf29,1.210736133,8.66E-11,up
BC052775,1.210572322,9.32E-05,up
S100A1,-1.210392958,0.020458121,down
,-1.210323343,5.95E-08,down
SMURF2,1.210041643,4.88E-05,up
HIP1R,-1.209943811,5.00E-05,down
FAS,1.209910259,0.008195087,up
,1.20967393,2.64E-06,up
PTPLB,1.209596273,0.00102211,up
RNF139,1.209301993,1.36E-08,up
DNAJB2,-1.208432909,1.10E-05,down
,1.208321524,0.004526299,up
ANKRD20A11P,-1.208292112,0.000187973,down
FYN,-1.208152615,0.000154929,down
TMEM131,1.208051657,1.10E-10,up
CBX6,-1.207902371,9.07E-08,down
EIF3L,-1.207895385,7.18E-13,down
TLR2,1.207881434,0.00192747,up
DSP,1.207831916,3.69E-05,up
DNASE1L3,-1.207673049,1.14E-06,down
ZNF490,-1.207662119,7.36E-23,down
IPO11,1.207524839,8.48E-13,up
FAM115A,1.20751235,1.00E-05,up
ALDH1L2,1.207243916,0.005714601,up
SNRPD1,1.206957161,5.15E-07,up
PUM2,1.206849497,4.02E-15,up
KIAA1755,-1.206824385,0.000416896,down
SLC19A2,1.206562245,0.002664968,up
KIAA0100,1.206419783,0.000214039,up
LYPLAL1,1.206373629,2.09E-12,up
MARVELD3,1.206307902,2.88E-05,up
LAYN,-1.206207378,0.000436545,down
PDGFC,1.206135154,0.006796261,up
CBR1,1.20611728,0.003107233,up
PRR24,-1.205686091,1.64E-08,down
FCGRT,-1.204469035,2.84E-05,down
BEX5,-1.204196867,0.030512981,down
QPRT,1.203890077,0.004678141,up
,-1.203568336,0.000633354,down
MED29,1.203369392,1.48E-07,up
SPRY1,-1.203363196,4.16E-05,down
,1.20312393,0.003984831,up
PXMP4,1.20304965,0.008863172,up
PTPRJ,1.203038301,1.85E-06,up
OSER1-AS1,-1.202738161,6.45E-08,down
PCDH12,-1.202373378,7.90E-10,down
KIF21A,1.202325979,5.97E-05,up
TTLL4,1.202279385,0.031836178,up
DHRS4-AS1,-1.201997448,3.22E-27,down
AIP,1.201892091,3.73E-08,up
PCDHGA1,-1.201562154,2.92E-05,down
TFCP2,1.201508909,3.38E-06,up
ADH5,1.201490343,0.000204962,up
,-1.201278371,6.44E-12,down
RRAGD,-1.201257147,0.032928704,down
ZNF260,1.20120821,1.74E-09,up
TACR1,-1.20051572,8.45E-07,down
COX11,-1.200023301,5.75E-09,down
ATG7,1.199657531,1.23E-10,up
ARPC3,1.199608392,2.15E-14,up
,1.199475252,4.54E-07,up
BEX4,1.199243986,0.002805575,up
ATP6AP1,1.199129462,2.05E-07,up
RNF111,1.198730049,1.85E-12,up
EDC3,1.198596427,8.02E-06,up
FAM21A,-1.198581923,2.72E-08,down
KCNMB1,-1.198509916,0.015312042,down
MYO1G,1.19850349,0.002059481,up
ACO1,-1.198228007,3.94E-05,down
DBR1,1.198223937,1.64E-08,up
CNIH1,1.198177615,1.30E-10,up
CLN5,1.197409259,6.37E-06,up
GAB2,-1.197041336,4.69E-05,down
SNCG,-1.196231517,9.30E-07,down
NR2F6,1.195736545,2.77E-07,up
SNORD114-3,-1.195293902,4.07E-06,down
CTSL,1.195242154,1.95E-06,up
UBR2,1.194977601,3.17E-05,up
XPR1,1.194324706,4.98E-07,up
,-1.19411421,0.001083199,down
DCAF6,1.19390158,8.66E-08,up
SLC2A4RG,1.193748399,3.72E-07,up
DAP3,1.193691608,1.32E-12,up
VASH2,1.193514748,0.047737454,up
LOC202181,1.193126699,0.000476291,up
PCGF1,1.192823972,4.42E-14,up
MMADHC,1.192598252,4.68E-15,up
,-1.192534434,0.008004353,down
CABYR,1.192472566,0.01933853,up
ATG4A,1.192426,1.65E-07,up
TCERG1,1.192145839,2.14E-18,up
ASCL2,1.192083769,0.007925108,up
THYN1,-1.191549741,2.81E-08,down
RIPK4,-1.191361203,0.000308219,down
QSER1,1.191311168,2.74E-07,up
,1.191237455,9.70E-07,up
USPL1,1.191057531,1.14E-06,up
NLGN2,-1.190773986,2.54E-10,down
C3AR1,1.190352287,1.32E-05,up
RAB20,1.190330986,0.000101331,up
LOC729680,1.190005804,0.024285301,up
LTBP2,-1.189966594,0.000579399,down
RBBP6,1.189937252,0.001405859,up
P2RX5,1.189901685,4.86E-09,up
IER3IP1,1.189675706,1.22E-11,up
MINOS1,-1.189525049,2.06E-07,down
POLB,1.18908051,1.10E-05,up
PSMB2,1.188882685,8.72E-07,up
SPCS3,1.188782126,0.000294153,up
SRC,1.188573287,5.82E-05,up
ABCC1,1.188485203,4.94E-07,up
,1.188480434,8.32E-07,up
KIF13B,-1.188212874,0.005313859,down
E2F6,1.18816772,3.82E-08,up
,-1.188039014,6.24E-08,down
ATXN7L1,-1.18792435,1.36E-05,down
AX747826,1.187130559,0.002174251,up
FEM1C,1.186887748,1.40E-05,up
ZNF133,-1.186651105,1.55E-09,down
KLHL6,1.18634451,0.005490024,up
MOXD1,1.186000497,0.024728276,up
,-1.185897531,6.71E-18,down
ISG20,1.185371811,0.020786777,up
,-1.185184112,1.02E-07,down
PLA2G4C,-1.18500014,0.002136754,down
DNAJB11,1.184846545,1.61E-10,up
PPP1R3D,1.184621783,3.00E-06,up
LPP,1.184294042,0.001311356,up
TACC1,-1.184132986,7.04E-05,down
ZNF273,1.183706636,1.55E-08,up
PRR5,-1.183648748,0.000159813,down
ACP5,1.183366119,0.008801201,up
ZNF445,-1.183159189,5.19E-30,down
KIAA1429,1.183097399,1.72E-05,up
OLFML1,-1.182780993,0.005970888,down
SLC25A40,1.182754692,1.33E-11,up
ZDHHC21,1.182633427,0.001615421,up
CD37,1.181937517,0.003496159,up
,-1.181835755,3.25E-10,down
NRIP2,-1.18178972,2.12E-33,down
NR1H3,-1.181780028,0.000344281,down
PLEKHG4,-1.181778126,0.000509361,down
MPZL2,-1.181619545,0.011931744,down
RP1-142L7.8,-1.181462692,1.68E-05,down
MAPK11,-1.181159573,3.30E-12,down
SSBP2,-1.181149958,6.49E-10,down
DPYSL3,1.181126664,0.004599443,up
GTF2H2B,1.181032357,0.004318294,up
HLA-C,1.180926231,3.91E-05,up
FAM222B,1.180689,5.39E-05,up
LMO7,1.180577042,0.001238717,up
MCTS1,1.180430189,1.78E-09,up
TRIM16,1.180372259,0.006005057,up
RGPD3,1.180357741,1.12E-05,up
PLCD3,-1.180233014,6.15E-15,down
GEMIN4,-1.180184944,3.17E-05,down
TCEB3,1.179600958,2.53E-08,up
ASAP1-IT1,1.179536336,8.32E-06,up
TMEM208,1.179362741,2.91E-10,up
CC2D2A,-1.179292776,5.26E-06,down
NDUFAF4,-1.178931329,1.53E-05,down
IWS1,1.178855951,1.68E-11,up
AGGF1,1.17867451,2.40E-07,up
IKBIP,1.178435818,3.23E-05,up
CNOT7,1.178242867,0.001075596,up
TMEM71,-1.178235552,0.006700547,down
ADK,1.178011028,6.96E-07,up
TBX3,-1.177735497,0.005724674,down
,-1.17773258,3.55E-05,down
,1.177567762,1.61E-06,up
WHAMMP2,-1.176662804,1.30E-11,down
,1.176619308,0.000349089,up
PIK3C3,-1.176580147,1.62E-05,down
RAD51C,1.176450874,5.27E-05,up
IFI16,1.17643449,0.002450111,up
CEP63,1.176308308,1.10E-06,up
BCAS4,1.176287979,0.019815605,up
WASL,1.176264196,0.000172716,up
RPUSD3,1.176241105,0.000563813,up
GTF3C4,1.176185462,1.26E-05,up
STRAP,1.176133427,5.25E-09,up
TRAF4,1.176095909,0.010439865,up
RBPMS,-1.176077608,0.004258342,down
TUBA1C,1.175906643,4.78E-17,up
SMG6,-1.175292056,1.33E-12,down
LUZP1,-1.175274678,2.18E-12,down
,-1.175051748,4.49E-29,down
ULBP2,1.174952021,0.048071055,up
OAF,-1.174921161,6.56E-08,down
C2orf69,1.174372147,2.42E-12,up
NRP2,1.174356378,0.005308355,up
,-1.174342147,4.28E-21,down
HSBP1,1.174183448,2.56E-10,up
ZNF205,-1.174010154,9.56E-17,down
SMG9,1.173988559,3.94E-08,up
PDE12,1.173593685,1.34E-07,up
PDCD5,1.173054566,1.01E-06,up
VKORC1,1.172763021,1.08E-15,up
C2orf27A,-1.172633469,4.69E-06,down
TRIM2,-1.17240258,0.025952649,down
PRPF39,1.172298818,4.42E-11,up
LIN7C,1.17207479,9.90E-08,up
,-1.170982049,1.25E-06,down
RAD17,1.170750126,7.26E-08,up
,-1.170693119,3.99E-11,down
DYNC1LI2,1.17057028,2.78E-09,up
LINC00997,-1.170323888,9.11E-09,down
IQCK,1.170062986,7.64E-05,up
CAPZA2,1.169952098,9.69E-16,up
MYBBP1A,-1.169890566,2.67E-12,down
RALGAPA1,1.16986493,1.08E-07,up
TMEM54,1.169860357,2.89E-05,up
NIP7,1.169594217,1.56E-05,up
ZSWIM7,-1.169369839,0.000117608,down
,1.169365923,3.90E-07,up
NPM1,1.169262168,4.41E-10,up
TNFRSF1B,-1.169112902,0.000858067,down
MED24,1.169061643,0.046230749,up
NADK,1.169015531,4.18E-05,up
LOC101929855,-1.168690874,0.006539014,down
SCAF4,1.168615692,2.77E-09,up
MIR4800,-1.168589357,9.62E-08,down
OXSM,1.168344909,2.18E-07,up
PAXBP1,1.168285133,4.67E-09,up
C7orf50,1.168188951,5.07E-07,up
CHD7,1.167814559,0.001469418,up
OCIAD2,1.167636105,2.97E-05,up
SNRPG,1.167438951,8.74E-14,up
HNRNPH2,1.167396951,2.22E-09,up
TMOD1,-1.167137413,0.000161181,down
ACOT9,1.166851839,1.13E-06,up
OGFRL1,-1.166697322,0.00052519,down
,-1.166268769,0.01019193,down
ALDH6A1,-1.16613186,0.001231711,down
LALBA,-1.166107238,0.009577113,down
KAT2A,-1.166105601,5.73E-07,down
,-1.165849399,2.66E-14,down
DPM2,1.165725084,8.59E-11,up
SLC37A1,1.164785846,7.54E-05,up
MAP9,1.164471448,0.001924923,up
BEND3,1.164437552,0.000349241,up
CDK13,1.164228042,2.17E-07,up
GS1-111G14.1,-1.164034217,2.29E-12,down
OARD1,-1.164024084,3.97E-06,down
EXOSC1,1.163992007,3.35E-11,up
,-1.163948308,8.72E-06,down
OSTM1,1.163800972,1.12E-06,up
CDK11A,1.16374149,6.11E-10,up
ATP6V1H,1.163221986,0.000829526,up
,1.16317335,2.33E-06,up
FAM172A,-1.163004685,0.000178272,down
USP16,1.162771895,7.16E-11,up
FAHD1,1.162711503,1.10E-09,up
SERPINI1,-1.162636657,0.007547256,down
ACVR1,1.162182336,1.23E-06,up
,-1.162154252,0.005532221,down
MAP3K3,-1.161883622,4.85E-07,down
,1.161758371,9.83E-09,up
,-1.161748049,1.39E-23,down
CDC16,1.161702182,3.78E-08,up
CIB2,-1.161685629,0.001393212,down
WBP1L,-1.161341385,1.11E-05,down
PIGU,1.161132392,3.94E-06,up
GTPBP10,1.160980664,2.00E-08,up
CENPBD1,1.160740636,0.002857956,up
SNORA5B,1.16072307,2.02E-05,up
,-1.160627091,7.15E-07,down
TMOD2,-1.160573266,0.000124465,down
,-1.160473203,5.88E-10,down
MRPS16,1.160263462,6.77E-09,up
SH3D19,-1.160166154,0.000688531,down
GTF3C6,1.160042028,2.79E-09,up
CSNK1G2,1.15997735,1.46E-08,up
HNRNPK,1.159921818,1.32E-30,up
PDZD2,-1.159463727,0.02608309,down
PDZD4,-1.159350594,5.05E-13,down
ERI3,1.159284315,3.45E-07,up
LOC692247,1.158836126,0.044065752,up
UQCR10,1.158821189,5.80E-12,up
C3orf52,1.15874593,0.007950757,up
ASMTL,-1.15848449,2.84E-06,down
,1.158478958,0.005750343,up
F8A1,1.158295874,1.89E-06,up
DRAP1,1.157931888,6.90E-13,up
LYRM7,-1.157810916,3.06E-12,down
ZNF785,1.157597147,8.42E-08,up
ANG,-1.157546923,0.002372486,down
RBM28,1.157497615,5.26E-07,up
ANKRD53,-1.157452776,9.13E-34,down
EPM2AIP1,-1.157433727,2.62E-10,down
FAM73A,1.157177245,3.77E-05,up
NID1,1.157087867,0.001842621,up
